id;type;score;bedrooms;type_bedroom;beds;type_bed;baths;type_bath;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
7,09E+22;Rental unit in Madrid ;;1;studio;2;bed;1;bath;459731394;Fernando;Arganzuela;Acacias;4.040.333;-370.418;Entire home/apt;68;1;0;;;9;353;0;VT-4408
7,12E+21;Rental unit in Madrid ;;1;studio;1;bed;1;bath;506526260;Andrea;Centro;Sol;404.142;-370.437;Entire home/apt;51;30;1;11/16/2022;0.08;13;84;0;
7,11E+22;Rental unit in Madrid ;;1;studio;2;bed;1;private_bath;394669135;Jj Proyect Sl;Centro;Sol;4.041.881;-370.178;Private room;92;2;2;11/13/2022;0.14;9;0;0;
7,19E+22;Hotel in Madrid ;;1;studio;1;bed;1;shared_bath;479644813;Catalonia Atocha;Centro;Embajadores;404.111;-369.851;Private room;152;1;0;;;3;359;0;
7,19E+22;Hotel in Madrid ;;1;studio;4;bed;1;shared_bath;479644813;Catalonia Atocha;Centro;Embajadores;4.041.093;-369.874;Private room;207;1;0;;;3;348;0;
7,34E+22;Condo in Madrid ;;1;studio;2;bed;1;bath;15158626;Carolina;Carabanchel;Puerta Bonita;403.782.291;-37.456.473;Entire home/apt;62;15;1;10/06/2023;0.42;1;348;1;
7,32E+22;Loft in Madrid ;;1;studio;1;bed;1;bath;67725432;NoemÃ­;Centro;Universidad;4.042.696.782;-3.709.116.174;Entire home/apt;128;30;1;10/05/2023;0.42;1;357;1;
7,35E+22;Loft in Madrid ;;1;studio;1;bed;1;bath;190946256;Valentina Y Jose;Centro;Palacio;4.040.822;-371.249;Entire home/apt;800;1;0;;;1;74;0;
7,40E+22;Rental unit in Madrid ;;1;studio;2;bed;1;bath;459519010;Uma Suites;Retiro;Estrella;404.188.973;-3.668.948;Entire home/apt;110;1;1;11/12/2023;0.86;6;0;1;
7,61E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;402683004;Ruth;TetuÃ¡n;Valdeacederas;4.046.861;-370.585;Entire home/apt;60;5;2;7/10/2023;0.16;47;77;1;
7,61E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;402683004;Ruth;TetuÃ¡n;Valdeacederas;4.046.935;-370.648;Entire home/apt;60;5;1;1/24/2023;0.09;47;85;1;
7,56E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;471977881;Rodrigo;Centro;Sol;4.041.491;-370.701;Entire home/apt;66;30;0;;;148;258;0;
7,75E+22;Condo in Madrid ;;1;studio;1;bed;1;bath;490347371;Rafael;Usera;ZofÃ­o;403.814.122;-37.142.928;Entire home/apt;68;2;2;12/30/2022;0.16;6;67;2;
7,78E+22;Rental unit in Madrid ;;1;studio;1;bed;1;bath;490804286;Rocio;Centro;Universidad;4.042.738;-370.302;Entire home/apt;99;1;0;;;1;0;0;
